Data;Casi per settimana;N. abitanti;Casi per 100.000 abitanti
10 - 16 mar;23;690.503;3
17 - 23 mar;43;690.503;6
24 - 30 mar;115;690.503;17
31 mar - 6 apr;60;690.503;9
7 - 13 apr;52;690.503;8
14 - 20 apr;113;690.503;16
21 - 27 apr;42;690.503;6
28 apr - 4 mag;10;690.503;1
5 - 11 mag;5;690.503;1
12 - 18 mag;4;690.503;1
19 - 25 mag;1;690.503;0
26 mag - 1 giu;0;690.503;0
2 - 8 giu;0;690.503;0
9 - 15 giu;0;690.503;0
16 - 22 giu;0;690.503;0
23 - 29 giu;0;690.503;0
30 giu - 6 lug;1;690.503;0
7 - 13 lug;0;690.503;0
14 - 20 lug;17;690.503;2
21 - 27 lug;2;690.503;0
28 lug - 3 ago;4;690.503;1
4 - 10 ago;2;690.503;0
11 - 17 ago;4;690.503;1
18 - 24 ago;9;690.503;1
25 - 31 ago;22;690.503;3
1 - 7 set;36;690.503;5
8 - 14 set;35;690.503;5
15 - 21 set;30;690.503;4
22 - 28 set;21;690.503;3
29 set - 5 ott;27;690.503;4
6 - 12 ott;27;690.503;4
13 - 19 ott;142;690.503;21
20 - 26 ott;411;690.503;60
27 ott - 2 nov;514;690.503;74
3 - 9 nov;640;690.503;93
10 - 16 nov;562;690.503;81
17 - 23 nov;1094;690.503;158
24 - 30 nov;1007;690.503;146
1 - 7 dic;890;690.503;129
8 - 14 dic;431;690.503;62
15 - 21 dic;273;690.503;40
22 - 28 dic;250;690.503;36
29 dic - 4 gen 2021;433;690.503;63
5 -11 gen;554;690.503;80
12 - 18 gen;615;690.503;89
19 - 25 gen;676;690.503;98
26 gen - 1 feb;527;690.503;76
2 - 8 feb;389;690.503;56
9 - 15 feb;254;690.503;37
16 - 22 feb;303;690.503;44
23 feb - 1 mar;291;690.503;42
2 - 8 mar;495;690.503;72
9 - 15 mar;677;690.503;98
16 - 22 mar;990;690.503;143
23 - 29 mar;1241;690.503;180
30 mar - 5 apr;1059;690.503;153
6 - 12 apr;1185;690.503;172
