Data;Ricoveri per settimana
10 - 16 mar;15
17 - 23 mar;30
24 - 30 mar;52
31 mar - 6 apr;54
7 - 13 apr;47
14 - 20 apr;36
21 - 27 apr;28
28 apr - 4 mag;22
5 - 11 mag;9
12 - 18 mag;8
19 - 25 mag;4
26 mag - 1 giu;2
2 - 8 giu;1
9 - 15 giu;1
16 - 22 giu;1
23 - 29 giu;0
30 giu - 6 lug;0
7 - 13 lug;0
14 - 20 lug;0
21 - 27 lug;0
28 lug - 3 ago;0
4 - 10 ago;1
11 - 17 ago;2
18 - 24 ago;3
25 - 31 ago;8
1 - 7 set;15
8 - 14 set;12
15 - 21 set;10
22 - 28 set;12
29 set - 5 ott;10
6 - 12 ott;10
13 - 19 ott;19
20 - 26 ott;37
27 ott - 2 nov;61
3 - 9 nov;97
10 - 16 nov;114
17 - 23 nov;148
24 - 30 nov;136
1 - 7 dic;134
8 - 14 dic;129
15 - 21 dic;99
22 - 28 dic;88
29 dic - 4 gen;89
5 -11 gen;93
12 - 18 gen;122
19 - 25 gen;111
26 gen - 1 feb;108
2 - 8 feb;85
9 - 15 feb;72
16 - 22 feb;58
23 feb - 1 mar;59
2 - 8 mar;75
9 - 15 mar;101
16 - 22 mar;114
23 - 29 mar;146
30 mar - 5 apr;173
6 - 12 apr;188
13 - 19 apr;196
