data;Nuovi casi;Deceduti;Dimessi / Guariti;Ricoverati
23/06/20;0;0;0;0
24/06/20;0;0;0;0
25/06/20;0;0;0;0
26/06/20;0;0;0;1
27/06/20;0;0;0;1
28/06/20;0;0;0;1
29/06/20;0;0;0;1
30/06/20;0;0;0;1
01/07/20;1;0;1;1
02/07/20;0;0;0;1
03/07/20;1;0;0;1
04/07/20;0;0;0;1
05/07/20;0;0;0;0
06/07/20;0;0;0;0
07/07/20;0;0;0;0
08/07/20;0;0;0;0
09/07/20;0;0;0;0
10/07/20;0;0;0;0
11/07/20;0;0;0;0
12/07/20;0;0;0;0
13/07/20;0;0;0;0
14/07/20;0;0;0;0
15/07/20;0;0;0;0
16/07/20;0;0;1;0
17/07/20;1;0;0;0
18/07/20;0;0;0;0
19/07/20;0;0;2;0
20/07/20;0;0;0;0
21/07/20;0;0;0;0
22/07/20;0;0;0;0
23/07/20;0;0;0;0
24/07/20;0;0;0;0
25/07/20;1;0;0;0
26/07/20;0;0;0;0
27/07/20;0;0;0;0
28/07/20;0;0;0;0
29/07/20;0;0;0;0
30/07/20;0;0;0;0
31/07/20;3;0;0;0
01/08/20;0;0;0;0
02/08/20;0;0;0;0
03/08/20;0;0;0;0
04/08/20;0;0;0;0
05/08/20;0;0;0;0
06/08/20;0;0;2;0
07/08/20;0;0;0;0
08/08/20;0;0;0;0
09/08/20;0;0;0;0
10/08/20;0;0;0;0
11/08/20;0;0;0;0
12/08/20;0;0;0;0
13/08/20;1;0;0;0
14/08/20;0;0;0;0
15/08/20;0;0;0;0
16/08/20;0;0;0;0
17/08/20;0;0;0;0
18/08/20;0;0;0;0
19/08/20;0;0;0;0
20/08/20;0;0;0;0
21/08/20;0;0;0;0
22/08/20;0;0;0;0
23/08/20;0;0;0;0
24/08/20;0;0;0;0
25/08/20;0;0;0;0
26/08/20;0;0;0;0
27/08/20;0;0;0;0
28/08/20;0;0;0;0
29/08/20;0;0;0;0
30/08/20;0;0;0;0
31/08/20;4;0;0;0
01/09/20;0;0;0;0
02/09/20;0;0;0;0
03/09/20;0;0;2;0
04/09/20;0;0;0;0
05/09/20;0;0;0;0
06/09/20;0;0;0;0
07/09/20;0;0;0;0
08/09/20;0;0;0;0
09/09/20;1;0;0;0
10/09/20;1;0;0;0
11/09/20;0;0;1;0
12/09/20;0;0;0;0
13/09/20;0;0;0;0
14/09/20;2;0;0;0
15/09/20;0;0;0;0
16/09/20;0;0;0;0
17/09/20;0;0;0;0
18/09/20;2;0;0;0
19/09/20;3;0;0;1
20/09/20;3;0;0;1
21/09/20;0;0;0;1
22/09/20;0;0;0;2
23/09/20;3;0;0;2
24/09/20;0;0;0;2
25/09/20;4;0;0;2
26/09/20;0;0;0;2
27/09/20;1;0;0;4
28/09/20;2;0;0;4
29/09/20;0;0;0;4
30/09/20;6;0;0;6
01/10/20;0;0;0;6
02/10/20;2;0;1;6
03/10/20;3;0;0;6
04/10/20;0;1;0;5
05/10/20;0;0;6;5
06/10/20;0;0;0;6
07/10/20;0;0;0;6
08/10/20;0;0;0;5
09/10/20;1;0;0;5
10/10/20;0;0;1;2
11/10/20;0;0;0;2
12/10/20;0;0;0;2
13/10/20;0;0;2;0
14/10/20;1;0;1;0
15/10/20;0;0;11;0
16/10/20;3;0;1;0
17/10/20;0;0;0;0
18/10/20;3;0;0;0
19/10/20;1;0;0;0
20/10/20;2;0;5;2
21/10/20;5;0;0;3
22/10/20;5;0;0;3
23/10/20;0;0;0;3
24/10/20;2;0;3;4
25/10/20;3;0;0;4
26/10/20;5;0;0;4
27/10/20;0;0;0;5
28/10/20;1;0;0;5
29/10/20;4;0;2;3
30/10/20;8;0;0;4
31/10/20;6;0;0;4
01/11/20;12;0;0;5
02/11/20;16;0;0;5
03/11/20;5;1;0;5
04/11/20;1;0;0;7
05/11/20;7;0;0;7
06/11/20;9;0;1;5
07/11/20;19;0;0;6
08/11/20;36;0;0;7
09/11/20;5;0;0;9
10/11/20;19;1;0;8
11/11/20;13;0;0;12
12/11/20;32;0;0;13
13/11/20;25;0;0;16
14/11/20;9;0;0;17
15/11/20;30;1;22;15
16/11/20;30;1;0;15
17/11/20;26;0;0;15
18/11/20;216;1;6;15
19/11/20;47;0;0;16
20/11/20;27;0;1;15
21/11/20;33;1;0;15
22/11/20;33;0;1;14
23/11/20;43;3;60;14
24/11/20;6;0;4;15
25/11/20;23;0;1;15
26/11/20;11;2;3;17
27/11/20;24;0;0;18
28/11/20;6;1;9;16
29/11/20;3;0;2;16
30/11/20;0;2;54;16
01/12/20;0;0;0;15
02/12/20;13;0;122;20
03/12/20;5;0;0;15
04/12/20;12;1;131;16
05/12/20;5;0;0;16
06/12/20;44;0;26;22
07/12/20;43;0;0;16
08/12/20;5;0;0;16
09/12/20;5;2;0;17
10/12/20;13;1;51;17
11/12/20;5;0;79;15
12/12/20;5;0;0;15
13/12/20;19;1;124;12
14/12/20;21;0;0;12
15/12/20;11;0;18;12
16/12/20;21;0;61;13
17/12/20;14;1;35;13
18/12/20;18;0;0;13
19/12/20;16;0;2;11
20/12/20;1;0;0;11
21/12/20;16;0;56;12
22/12/20;6;1;10;12
23/12/20;50;0;10;14
24/12/20;12;0;4;14
25/12/20;53;0;0;14
26/12/20;32;0;23;16
27/12/20;82;0;0;6
28/12/20;94;0;0;6
29/12/20;47;0;2;6
30/12/20;171;1;12;8
31/12/20;42;2;6;8
01/01/21;40;0;2;10
02/01/21;32;0;49;4
03/01/21;29;0;0;12
04/01/21;41;0;1;12
05/01/21;9;0;18;13
06/01/21;38;0;0;13
07/01/21;85;1;26;14
08/01/21;43;1;25;14
09/01/21;55;0;8;18
10/01/21;73;0;7;18
11/01/21;65;0;50;15
12/01/21;10;0;30;15
13/01/21;12;0;2;16
14/01/21;51;0;17;17
15/01/21;56;0;30;16
16/01/21;7;0;26;17
17/01/21;19;0;10;17
18/01/21;9;0;62;20
19/01/21;14;0;17;16
20/01/21;24;0;21;17
21/01/21;17;3;126;17
22/01/21;20;0;53;17
23/01/21;32;0;43;16
24/01/21;4;1;10;15
25/01/21;15;1;229;15
26/01/21;-9;0;-214;15
27/01/21;50;0;348;15
28/01/21;66;0;6;14
29/01/21;18;1;91;16
30/01/21;36;0;58;16
31/01/21;17;0;3;17
01/02/21;25;0;118;16
02/02/21;12;0;0;15
03/02/21;25;2;53;14
04/02/21;14;1;21;15
05/02/21;29;1;89;17
06/02/21;47;0;0;17
07/02/21;16;2;0;11
08/02/21;20;0;0;14
09/02/21;24;1;0;14
10/02/21;25;0;31;14
11/02/21;49;4;67;13
12/02/21;1;0;30;14
13/02/21;35;0;82;12
14/02/21;32;0;0;13
15/02/21;6;1;0;10
16/02/21;26;0;39;10
17/02/21;23;1;35;9
18/02/21;44;0;0;13
19/02/21;61;1;30;12
20/02/21;45;0;15;12
21/02/21;25;0;4;12
22/02/21;5;1;12;14
23/02/21;15;0;28;16
24/02/21;22;0;46;16
25/02/21;39;1;3;16
26/02/21;41;1;29;14
27/02/21;32;0;10;16
28/02/21;28;0;111;16
01/03/21;17;0;0;16
02/03/21;0;1;46;16
03/03/21;19;0;0;16
04/03/21;19;1;17;16
05/03/21;25;0;29;16
06/03/21;10;1;21;14
07/03/21;24;0;18;12
08/03/21;14;0;13;14
09/03/21;11;0;10;15
10/03/21;16;1;1;13
11/03/21;133;0;0;13
12/03/21;35;0;73;14
13/03/21;14;1;0;14
14/03/21;12;2;48;15
15/03/21;20;2;4;15
16/03/21;12;0;24;15
17/03/21;7;0;0;16
18/03/21;54;0;15;15
19/03/21;24;1;75;15
20/03/21;21;0;13;15
21/03/21;27;0;28;16
22/03/21;30;1;9;15
23/03/21;6;0;24;16
24/03/21;23;1;5;15
25/03/21;33;1;23;15
26/03/21;34;0;31;16
27/03/21;34;0;22;16
28/03/21;18;1;0;15
29/03/21;15;0;25;15
30/03/21;15;1;3;16
31/03/21;19;0;103;16
01/04/21;34;0;15;16
02/04/21;12;0;7;16
03/04/21;26;1;116;16
04/04/21;14;0;0;16
05/04/21;2;0;0;16
06/04/21;0;2;14;15
07/04/21;10;0;42;17
08/04/21;43;0;10;17
09/04/21;46;0;30;16
10/04/21;37;0;11;16
11/04/21;40;0;80;17
12/04/21;0;0;3;15
13/04/21;19;0;2;15
14/04/21;8;0;52;15
15/04/21;29;1;22;15
16/04/21;12;1;17;15
17/04/21;31;1;23;16
18/04/21;9;0;0;16
19/04/21;0;0;29;16
20/04/21;6;0;0;16
21/04/21;52;0;28;16
22/04/21;24;1;47;16
23/04/21;11;0;15;15
24/04/21;27;0;33;16
25/04/21;65;0;3;16
26/04/21;1;0;17;16
27/04/21;32;0;14;16
28/04/21;35;3;45;14
29/04/21;34;0;35;16
30/04/21;20;0;0;20
01/05/21;31;0;46;20
02/05/21;6;0;4;20
03/05/21;4;1;19;20
