Data;Guariti per settimana
10 - 16 mar;0
17 - 23 mar;0
24 - 30 mar;0
31 mar - 6 apr;1
7 - 13 apr;3
14 - 20 apr;6
21 - 27 apr;2
28 apr - 4 mag;5
5 - 11 mag;3
12 - 18 mag;28
19 - 25 mag;19
26 mag - 1 giu;5
2 - 8 giu;1
9 - 15 giu;3
16 - 22 giu;0
23 - 29 giu;0
30 giu - 6 lug;1
7 - 13 lug;0
14 - 20 lug;3
21 - 27 lug;0
28 lug - 3 ago;0
4 - 10 ago;2
11 - 17 ago;0
18 - 24 ago;0
25 - 31 ago;0
1 - 7 set;2
8 - 14 set;1
15 - 21 set;0
22 - 28 set;0
29 set - 5 ott;7
6 - 12 ott;1
13 - 19 ott;15
20 - 26 ott;8
27 ott - 2 nov;2
3 - 9 nov;1
10 - 16 nov;22
17 - 23 nov;68
24 - 30 nov;73
1 - 7 dic;279
8 - 14 dic;254
15 - 21 dic;172
22 - 28 dic;47
29 dic - 4 gen;72
5 -11 gen;134
12 - 18 gen;177
19 - 25 gen;499
26 gen - 1 feb;410
2 - 8 feb;163
9 - 15 feb;210
16 - 22 feb;135
23 feb - 1 mar;227
2 - 8 mar;144
9 - 15 mar;136
16 - 22 mar;164
23 - 29 mar;130
30 mar - 5 apr;244
6 - 12 apr;190
13 - 19 apr;145
20 - 26 apr;143
27 apr - 3 mag;163
4 - 10 mag;109
11 - 17 mag;176
18 - 24 mag;157
25 - 31 mag;117
1 - 7 giu;81
8 - 14 giu;64
15 - 21 giu;102
22 - 28 giu;50
29 giu - 5 lug;37
6 - 12 lug;32
13 - 19 lug;4
20 - 26 lug;8
27 lug - 2 ago;18
3 - 9 ago;22
10 - 16 ago;19
17 - 23 ago;45
24 - 30 ago;88
