Data;Casi per settimana;N. abitanti;Casi per 100.000 abitanti
10 - 16 mar;4;154.715;3
17 - 23 mar;13;154.715;8
24 - 30 mar;19;154.715;12
31 mar - 6 apr;24;154.715;16
7 - 13 apr;8;154.715;5
14 - 20 apr;3;154.715;2
21 - 27 apr;2;154.715;1
28 apr - 4 mag;2;154.715;1
5 - 11 mag;1;154.715;1
12 - 18 mag;5;154.715;3
19 - 25 mag;0;154.715;0
26 mag - 1 giu;0;154.715;0
2 - 8 giu;0;154.715;0
9 - 15 giu;1;154.715;1
16 - 22 giu;1;154.715;1
23 - 29 giu;0;154.715;0
30 giu - 6 lug;2;154.715;1
7 - 13 lug;0;154.715;0
14 - 20 lug;1;154.715;1
21 - 27 lug;1;154.715;1
28 lug - 3 ago;3;154.715;2
4 - 10 ago;0;154.715;0
11 - 17 ago;1;154.715;1
18 - 24 ago;0;154.715;0
25 - 31 ago;4;154.715;3
1 - 7 set;-1;154.715;-1
8 - 14 set;4;154.715;3
15 - 21 set;8;154.715;5
22 - 28 set;10;154.715;6
29 set - 5 ott;11;154.715;7
6 - 12 ott;1;154.715;1
13 - 19 ott;8;154.715;5
20 - 26 ott;22;154.715;14
27 ott - 2 nov;47;154.715;30
3 - 9 nov;82;154.715;53
10 - 16 nov;158;154.715;102
17 - 23 nov;425;154.715;275
24 - 30 nov;74;154.715;48
1 - 7 dic;123;154.715;80
8 - 14 dic;73;154.715;47
15 - 21 dic;97;154.715;63
22 - 28 dic;329;154.715;213
29 dic - 4 gen 2021;404;154.715;261
5 -11 gen;368;154.715;238
12 - 18 gen;164;154.715;106
19 - 25 gen;125;154.715;81
26 gen - 1 feb;214;154.715;138
2 - 8 feb;163;154.715;105
9 - 15 feb;172;154.715;111
16 - 22 feb;229;154.715;148
23 feb - 1 mar;194;154.715;125
2 - 8 mar;111;154.715;72
9 - 15 mar;241;154.715;156
16 - 22 mar;175;154.715;113
23 - 29 mar;163;154.715;105
30 mar - 5 apr;122;154.715;79
6 - 12 apr;176;154.715;114
