Data;Casi per settimana;N. abitanti;Casi per 100.000 abitanti
10 - 16 mar;17;168.581;10
17 - 23 mar;38;168.581;23
24 - 30 mar;30;168.581;18
31 mar - 6 apr;20;168.581;12
7 - 13 apr;7;168.581;4
14 - 20 apr;0;168.581;0
21 - 27 apr;0;168.581;0
28 apr - 4 mag;1;168.581;1
5 - 11 mag;0;168.581;0
12 - 18 mag;4;168.581;2
19 - 25 mag;0;168.581;0
26 mag - 1 giu;0;168.581;0
2 - 8 giu;1;168.581;1
9 - 15 giu;0;168.581;0
16 - 22 giu;0;168.581;0
23 - 29 giu;1;168.581;1
30 giu - 6 lug;0;168.581;0
7 - 13 lug;2;168.581;1
14 - 20 lug;0;168.581;0
21 - 27 lug;0;168.581;0
28 lug - 3 ago;0;168.581;0
4 - 10 ago;1;168.581;1
11 - 17 ago;4;168.581;2
18 - 24 ago;2;168.581;1
25 - 31 ago;5;168.581;3
1 - 7 set;10;168.581;6
8 - 14 set;0;168.581;0
15 - 21 set;0;168.581;0
22 - 28 set;2;168.581;1
29 set - 5 ott;2;168.581;1
6 - 12 ott;6;168.581;4
13 - 19 ott;5;168.581;3
20 - 26 ott;61;168.581;36
27 ott - 2 nov;41;168.581;24
3 - 9 nov;223;168.581;132
10 - 16 nov;190;168.581;113
17 - 23 nov;493;168.581;292
24 - 30 nov;394;168.581;234
1 - 7 dic;301;168.581;179
8 - 14 dic;120;168.581;71
15 - 21 dic;146;168.581;87
22 - 28 dic;NA;168.581;NA
29 dic - 4 gen 2021;69;168.581;41
5 -11 gen;155;168.581;92
12 - 18 gen;98;168.581;58
19 - 25 gen;59;168.581;35
26 gen - 1 feb;57;168.581;34
2 - 8 feb;30;168.581;18
9 - 15 feb;50;168.581;30
16 - 22 feb;53;168.581;31
23 feb - 1 mar;72;168.581;43
2 - 8 mar;120;168.581;71
9 - 15 mar;287;168.581;170
16 - 22 mar;311;168.581;184
23 - 29 mar;328;168.581;195
30 mar - 5 apr;398;168.581;236
6 - 12 apr;358;168.581;212
