data;Rt_positivi;Rt_sintomatici;Nuovi_casi;Deceduti;Dimessi_Guariti;Ricoverati;Terapia_intensiva
10/03/20;3,272501;3,272501;1;0;1;2;0
11/03/20;3,086842;3,086842;3;0;0;4;0
12/03/20;2,796599;2,796599;5;0;0;4;0
13/03/20;2,548558;2,544548;2;0;0;6;0
14/03/20;2,420818;2,413886;5;0;0;5;1
15/03/20;2,297756;2,28884;4;1;0;9;1
16/03/20;2,209045;2,192239;0;0;0;9;2
17/03/20;2,106052;2,083092;24;0;0;16;3
18/03/20;1,978726;1,948654;1;0;1;15;4
19/03/20;1,846997;1,809654;10;0;0;16;4
20/03/20;1,720058;1,679121;16;0;0;18;5
21/03/20;1,583458;1,541067;11;1;3;16;3
22/03/20;1,465097;1,423425;4;1;0;19;4
23/03/20;1,358817;1,315024;6;0;0;21;5
24/03/20;1,258277;1,213928;3;1;0;24;5
25/03/20;1,172661;1,125402;8;1;2;22;5
26/03/20;1,106485;1,051907;18;0;0;25;6
27/03/20;1,051515;0,988621;17;2;0;25;6
28/03/20;0,996979;0,928156;15;1;0;28;6
29/03/20;0,944986;0,872332;34;1;0;31;4
30/03/20;0,906207;0,835747;1;0;0;33;5
31/03/20;0,867483;0,801634;5;0;3;32;6
01/04/20;0,830994;0,771913;6;1;1;34;6
02/04/20;0,795008;0,743907;6;0;0;35;6
03/04/20;0,760724;0,716788;11;1;0;35;4
04/04/20;0,733659;0,698218;4;0;2;35;4
05/04/20;0,705876;0,678234;15;0;1;35;4
06/04/20;0,672958;0,651612;6;0;1;33;5
07/04/20;0,645376;0,626522;0;0;0;35;4
08/04/20;0,617579;0,600354;5;0;0;37;4
09/04/20;0,578702;0,568662;2;0;2;37;4
10/04/20;0,526776;0,523719;6;4;0;36;3
11/04/20;0,473776;0,472253;4;0;0;37;4
12/04/20;0,430366;0,426661;3;0;1;36;4
13/04/20;0,38374;0,367896;0;0;5;32;3
14/04/20;0,3646;0,339226;5;0;0;32;3
15/04/20;0,359773;0,326053;8;0;5;30;3
16/04/20;0,364516;0,323055;-7;0;0;30;4
17/04/20;0,361612;0,307148;-29;0;0;32;3
18/04/20;0,363822;0,290454;0;0;0;33;2
19/04/20;0,369569;0,254893;1;0;0;33;2
20/04/20;0,372332;0,236653;2;0;8;33;2
21/04/20;0,401847;0,242556;0;0;9;31;2
22/04/20;0,429853;0,264672;4;0;4;29;2
23/04/20;0,459371;0,300783;1;0;0;28;2
24/04/20;0,490544;0,34767;0;0;1;27;2
25/04/20;0,528306;0,406883;1;0;3;31;2
26/04/20;0,564096;0,461169;0;0;4;27;3
27/04/20;0,53389;0,452401;1;0;6;24;3
28/04/20;0,530904;0,473661;0;1;0;25;3
29/04/20;0,544822;0,513868;1;0;7;24;3
30/04/20;0,574212;0,572093;1;0;0;24;3
01/05/20;0,656716;0,70914;1;0;3;22;1
02/05/20;0,72821;0,824617;0;0;10;21;2
03/05/20;0,769924;0,886484;0;0;3;19;2
04/05/20;0,832085;1,014092;3;0;1;18;2
05/05/20;0,903511;1,139129;1;0;9;18;2
06/05/20;0,930733;1,227325;2;0;0;17;2
07/05/20;0,932665;1,273288;1;0;1;16;2
08/05/20;0,948013;1,320036;1;0;4;12;2
09/05/20;0,977084;1,367566;3;0;5;12;2
10/05/20;0,990968;1,358669;0;0;2;12;2
11/05/20;0,941553;1,270557;0;0;8;11;1
12/05/20;0,893315;1,12365;3;0;2;11;1
13/05/20;0,846259;0,976806;1;0;0;11;1
14/05/20;0,800391;0,831805;2;1;9;8;1
15/05/20;0,73531;0,674006;0;0;1;7;1
16/05/20;0,693637;0,61211;2;0;10;8;1
17/05/20;0,645681;0,607233;0;0;29;8;1
18/05/20;0,642819;0,622864;0;0;11;7;1
19/05/20;0,597974;0,659019;1;0;4;5;1
20/05/20;0,556799;0,688481;1;1;16;6;0
21/05/20;0,511204;0,701662;0;0;0;6;0
22/05/20;0,486486;0,727842;0;0;8;6;0
23/05/20;0,481305;0,767674;0;0;4;5;0
24/05/20;0,495372;0,822129;0;0;6;5;0
25/05/20;0,529462;0,892485;0;0;1;5;0
26/05/20;0,486541;0,932212;0;0;0;5;0
27/05/20;0,478289;0,981097;1;0;11;4;0
28/05/20;0,503905;1,039726;0;0;1;3;0
29/05/20;0,48263;0,954053;0;1;1;1;0
30/05/20;0,484551;0,871818;0;0;5;0;0
31/05/20;0,509794;0,742622;0;0;1;0;0
01/06/20;;;0;0;0;0;0
02/06/20;;;0;0;8;0;0
03/06/20;;;0;0;1;0;0
04/06/20;;;0;0;1;3;0
05/06/20;;;1;0;0;3;0
06/06/20;;;0;0;0;3;0
07/06/20;;;0;0;0;3;0
08/06/20;;;0;0;0;3;0
09/06/20;;;0;0;0;3;0
10/06/20;;;0;0;0;3;0
11/06/20;;;1;0;2;1;0
12/06/20;;;0;0;2;1;0
13/06/20;;;0;0;1;0;0
14/06/20;;;0;0;0;0;0
15/06/20;;;0;0;1;2;0
16/06/20;;;0;0;0;2;0
17/06/20;2,332519;2,281193;0;0;0;2;0
