Data;Tamponi per settimana
24 feb - 1 mar;2
2 - 8 mar;4
9 - 15 mar;41
16 - 22 mar;147
23 - 29 mar;254
30 mar - 5 apr;242
6 - 12 apr;271
13 - 19 apr;293
20 - 26 apr;374
27 apr - 3 mag;421
4 - 10 mag;384
11 - 17 mag;485
18 - 24 mag;404
25 - 31 mag;387
1 - 7 giu;310
8 - 14 giu;308
15 - 21 giu;314
22 - 28 giu;312
29 giu - 5 lug;296
6 - 12 lug;294
13 - 19 lug;288
20 - 26 lug;322
27 lug - 2 ago;305
3 - 9 ago;290
10 - 16 ago;416
17 - 23 ago;484
24 - 30 ago;528
31 ago - 6 set;582
7 - 13 set;479
14 - 20 set;563
21 - 27 set;619
28 set - 4 ott;616
5 - 11 ott;715
12 - 18 ott;851
19 - 25 ott;995
26 ott - 1 nov;1.069
2 - 8 nov;1.115
9 -15 nov;1.101
16 - 22 nov;1.223
23 - 29 nov;1.030
30 nov - 6 dic;993
7 - 13 dic;879
14 - 20 dic;868
21 - 27 dic;823
28 dic - 3 gen;802
4 - 10 gen;919
11 - 17 gen;997
18 - 24 gen;963
25 - 31 gen;985
1 - 7 feb;989
8 - 14 feb;885
15 - 21 feb;767
22 - 28 feb;820
1 - 7 mar;937
8 - 14 mar;932
15 - 21 mar;1.055
22 - 28 mar;1.084
29 mar - 4 apr;1.172
5 - 11 apr;1.086
12 - 18 apr;1.292
19 - 25 apr;1.382
26 apr - 2 mag;1.335
3 - 9 mag;1.392
10 - 16 mag;1.168
