Settimana del;0-9;ott-19;20-29;30-39;40-49;50-59;60-69;70-79;80-89;90;Settimanale_0-9;Settimanale_10-19;Settimanale_20-29;Settimanale_30-39;Settimanale_40-49;Settimanale_50-59;Settimanale_60-69;Settimanale_70-79;Settimanale_80-89;Settimanale_90
2020-02-29;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
2020-03-01;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
2020-03-02;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
2020-03-03;0;0;0,285714286;0;0;0,571428571;0,714285714;0,285714286;0;0;;;;;;;;;;
2020-03-04;0;0;0,285714286;0;0;0,571428571;0,714285714;0,428571429;0;0;;;;;;;;;;
2020-03-05;0;0;0,285714286;0;0,142857143;0,714285714;1;0,428571429;0;0;;;;;;;;;;
2020-03-06;0;0;0,428571429;0,285714286;0,285714286;1;1,428571429;0,571428571;0;0;0,00;0,00;0,86;0,00;0,14;1,86;2,43;1,14;0,00;0,00
2020-03-07;0;0,142857143;0,714285714;0,428571429;0,857142857;1;1,571428571;0,857142857;0;0;;;;;;;;;;
2020-03-08;0;0,142857143;0,714285714;0,428571429;1,142857143;1;2;1;0;0;;;;;;;;;;
2020-03-09;0;0,285714286;0,571428571;0,714285714;2;2;2,142857143;1,714285714;0;0,142857143;;;;;;;;;;
2020-03-10;0;0,285714286;0,714285714;0,714285714;2,142857143;2;2,285714286;1,714285714;1;0,142857143;;;;;;;;;;
2020-03-11;0;0,285714286;0,857142857;1;2,571428571;2;2,714285714;1,857142857;1;0,142857143;;;;;;;;;;
2020-03-12;0;0,428571429;1,142857143;1,285714286;2,857142857;3;3,285714286;2,428571429;1;0,142857143;;;;;;;;;;
2020-03-13;0;0,428571429;1,142857143;1,428571429;3,142857143;5;4,142857143;2,714285714;2;0,142857143;0,00;1,57;4,71;4,57;11,57;11,29;14,00;9,57;3,43;0,57
2020-03-14;0,285714286;0,285714286;1,285714286;1,428571429;3,285714286;5;4;3;2;0,142857143;;;;;;;;;;
2020-03-15;0,285714286;0,428571429;1,857142857;1,571428571;4,142857143;6;5;3,285714286;2;0,142857143;;;;;;;;;;
2020-03-16;0,428571429;0,285714286;2,285714286;1,428571429;4;6;5,571428571;3;2;0;;;;;;;;;;
2020-03-17;0,428571429;0,714285714;2,285714286;2,285714286;4,428571429;7;6,857142857;3,428571429;2;0,428571429;;;;;;;;;;
2020-03-18;0,428571429;0,714285714;2,428571429;2,714285714;5;7;6,857142857;3,714285714;3;0,571428571;;;;;;;;;;
2020-03-19;0,571428571;0,571428571;2,285714286;3;5,142857143;7;7;3,714285714;3;0,571428571;;;;;;;;;;
2020-03-20;0,571428571;1;2,571428571;2,857142857;5,285714286;6;6,428571429;3,571428571;3;0,857142857;2,43;3,00;12,43;12,43;26,00;37,57;35,29;20,14;14,43;1,86
2020-03-21;0,571428571;1,285714286;2,714285714;3,571428571;6,142857143;7;7,428571429;4;3;1,142857143;;;;;;;;;;
2020-03-22;0,857142857;1,857142857;2,428571429;4,285714286;6,571428571;9;7,857142857;5,142857143;5;2,142857143;;;;;;;;;;
2020-03-23;0,714285714;2,571428571;2,857142857;5,142857143;7,142857143;9;8,142857143;5,714285714;5;2,428571429;;;;;;;;;;
2020-03-24;0,714285714;2,142857143;3,285714286;4,428571429;7,571428571;9;7,571428571;5,285714286;5;2;;;;;;;;;;
2020-03-25;0,714285714;2,142857143;3,142857143;3,714285714;7,285714286;8;7,285714286;5;5;2,142857143;;;;;;;;;;
2020-03-26;0,714285714;2,571428571;3,428571429;3,571428571;7,428571429;8;6,571428571;4,571428571;5;2,142857143;;;;;;;;;;
2020-03-27;0,857142857;2,285714286;3,428571429;4,142857143;8,142857143;7;6,428571429;4,428571429;4;1,857142857;4,29;12,57;17,86;24,71;42,14;48,86;44,86;29,71;27,86;12,00
2020-03-28;0,571428571;2,142857143;3,714285714;3,857142857;6,857142857;5;5,857142857;3,714285714;5;1,571428571;;;;;;;;;;
2020-03-29;0,571428571;1,857142857;3,571428571;3,142857143;5,571428571;3;4;2,714285714;2;0,571428571;;;;;;;;;;
2020-03-30;0,714285714;1,571428571;3,428571429;2,714285714;4,428571429;4;3,571428571;1,714285714;2;0,285714286;;;;;;;;;;
2020-03-31;0,857142857;2,571428571;4;3,428571429;4;3;3,285714286;1,428571429;2;0,714285714;;;;;;;;;;
2020-04-01;0,857142857;2,857142857;3,857142857;3,428571429;3,571428571;3;3,142857143;1,428571429;1;0,428571429;;;;;;;;;;
2020-04-02;0,857142857;2,714285714;3,857142857;3;2,857142857;3;3,428571429;1,285714286;1;0,571428571;;;;;;;;;;
2020-04-03;0,714285714;2,571428571;4,428571429;2,428571429;2;4;3;1,285714286;1;0,571428571;4,43;13,71;22,43;19,57;27,29;22,57;23,29;12,29;12,43;4,14
2020-04-04;0,714285714;3;4;2,285714286;1,857142857;4;2,285714286;1,571428571;1;0,714285714;;;;;;;;;;
