Data;Casi per settimana
24 feb - 1 mar;1
2 - 8 mar;8
9 - 15 mar;59
16 - 22 mar;205
23 - 29 mar;341
30 mar - 5 apr;181
6 - 12 apr;128
13 - 19 apr;112
20 - 26 apr;54
27 apr - 3 mag;25
4 - 10 mag;18
11 - 17 mag;19
18 - 24 mag;6
25 - 31 mag;1
1 - 7 giu;1
8 - 14 giu;3
15 - 21 giu;12
22 - 28 giu;7
29 giu - 5 lug;3
6 - 12 lug;33
13 - 19 lug;23
20 - 26 lug;8
27 lug - 2 ago;23
3 - 9 ago;17
10 - 16 ago;61
17 - 23 ago;50
24 - 30 ago;63
31 ago - 6 set;146
7 - 13 set;92
14 - 20 set;117
21 - 27 set;120
28 set - 4 ott;111
5 - 11 ott;228
12 - 18 ott;470
19 - 25 ott;1.029
26 ott - 1 nov;1.521
2 - 8 nov;2.155
9 -15 nov;2.628
16 - 22 nov;3.803
23 - 29 nov;2.548
30 nov - 6 dic;2.079
7 - 13 dic;1.259
14 - 20 dic;1.355
21 - 27 dic;1.543
28 dic - 3 gen;1.896
4 - 10 gen;2.344
11 - 17 gen;2.139
18 - 24 gen;1.999
25 - 31 gen;1.675
1 - 7 feb;1.444
8 - 14 feb;1.245
15 - 21 feb;1.150
22 - 28 feb;1.294
1 - 7 mar;1.490
8 - 14 mar;1.815
15 - 21 mar;2.326
22 - 28 mar;2.599
29 mar - 4 apr;2.794
5 - 11 apr;2.777
12 - 18 apr;3.308
19 - 25 apr;3.117
26 apr - 2 mag;2.591
3 - 9 mag;2.253
10 - 16 mag;1.682
17 - 23 mag;1.249
24 - 30 mag;994
31 mag - 6 giu;783
7 - 13 giu;574
14 - 20 giu;427
21 - 27 giu;246
28 giu - 4 lug;177
5 - 11 lug;247
