Data;Decessi per settimana
24 feb - 1 mar;0
2 - 8 mar;0
9 - 15 mar;1
16 - 22 mar;7
23 - 29 mar;17
30 mar - 5 apr;31
6 - 12 apr;10
13 - 19 apr;9
20 - 26 apr;5
27 apr - 3 mag;8
4 - 10 mag;3
11 - 17 mag;4
18 - 24 mag;1
25 - 31 mag;1
1 - 7 giu;0
8 - 14 giu;0
15 - 21 giu;0
22 - 28 giu;0
29 giu - 5 lug;0
6 - 12 lug;0
13 - 19 lug;0
20 - 26 lug;0
27 lug - 2 ago;0
3 - 9 ago;0
10 - 16 ago;0
17 - 23 ago;0
24 - 30 ago;0
31 ago - 6 set;1
7 - 13 set;0
14 - 20 set;0
21 - 27 set;2
28 set - 4 ott;1
5 - 11 ott;2
12 - 18 ott;1
19 - 25 ott;2
26 ott - 1 nov;11
2 - 8 nov;23
9 -15 nov;34
16 - 22 nov;48
23 - 29 nov;59
30 nov - 6 dic;62
7 - 13 dic;49
14 - 20 dic;30
21 - 27 dic;29
28 dic - 3 gen;37
4 - 10 gen;26
11 - 17 gen;21
18 - 24 gen;31
25 - 31 gen;26
1 - 7 feb;32
8 - 14 feb;23
15 - 21 feb;19
22 - 28 feb;17
1 - 7 mar;22
8 - 14 mar;27
15 - 21 mar;37
22 - 28 mar;31
29 mar - 4 apr;47
5 - 11 apr;56
12 - 18 apr;35
19 - 25 apr;46
26 apr - 2 mag;35
3 - 9 mag;56
10 - 16 mag;41
