Data;Casi per settimana
24 feb - 1 mar;0
2 - 8 mar;0
9 - 15 mar;3
16 - 22 mar;11
23 - 29 mar;18
30 mar - 5 apr;10
6 - 12 apr;7
13 - 19 apr;6
20 - 26 apr;3
27 apr - 3 mag;1
4 - 10 mag;1
11 - 17 mag;1
18 - 24 mag;0
25 - 31 mag;0
1 - 7 giu;0
8 - 14 giu;0
15 - 21 giu;1
22 - 28 giu;0
29 giu - 5 lug;0
6 - 12 lug;2
13 - 19 lug;1
20 - 26 lug;0
27 lug - 2 ago;1
3 - 9 ago;1
10 - 16 ago;3
17 - 23 ago;3
24 - 30 ago;3
31 ago - 6 set;8
7 - 13 set;5
14 - 20 set;6
21 - 27 set;6
28 set - 4 ott;6
5 - 11 ott;12
12 - 18 ott;25
19 - 25 ott;54
26 ott - 1 nov;80
2 - 8 nov;114
9 -15 nov;139
16 - 22 nov;201
23 - 29 nov;135
30 nov - 6 dic;110
7 - 13 dic;66
14 - 20 dic;72
21 - 27 dic;81
28 dic - 3 gen;100
4 - 10 gen;124
11 - 17 gen;113
18 - 24 gen;106
25 - 31 gen;88
1 - 7 feb;76
8 - 14 feb;66
15 - 21 feb;61
22 - 28 feb;68
1 - 7 mar;79
8 - 14 mar;96
15 - 21 mar;123
22 - 28 mar;137
29 mar - 4 apr;148
5 - 11 apr;147
12 - 18 apr;175
19 - 25 apr;165
26 apr - 2 mag;137
3 - 9 mag;119
10 - 16 mag;89
