Settimana del;0-9;ott-19;20-29;30-39;40-49;50-59;60-69;70-79;80-89;90;Settimanale_0-9;Settimanale_10-19;Settimanale_20-29;Settimanale_30-39;Settimanale_40-49;Settimanale_50-59;Settimanale_60-69;Settimanale_70-79;Settimanale_80-89;Settimanale_90
2020-03-01;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
2020-03-02;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
2020-03-03;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
2020-03-04;0;0;0,142857143;0;0;0,428571429;0,571428571;0,571428571;0;0;;;;;;;;;;
2020-03-05;0;0;0,142857143;0;0;0,571428571;0,571428571;0,571428571;0;0;;;;;;;;;;
2020-03-06;0;0;0,142857143;0,142857143;0;0,571428571;0,714285714;0,714285714;0;0;;;;;;;;;;
2020-03-07;0;0;0;0,142857143;0,285714286;0,428571429;0,857142857;0,857142857;0;0;0,00;0,00;0,57;0,29;0,29;2,00;2,71;2,71;0,00;0,00
2020-03-08;0;0;0;0,142857143;0,428571429;0,714285714;1;1;0,142857143;0;;;;;;;;;;
2020-03-09;0;0;0;0,142857143;0,714285714;0,857142857;1,285714286;1,285714286;0,142857143;0;;;;;;;;;;
2020-03-10;0;0;0;0,285714286;0,857142857;1;1,285714286;1,285714286;0,428571429;0;;;;;;;;;;
2020-03-11;0;0;0;0,285714286;1;1;1,142857143;1,142857143;0,428571429;0,142857143;;;;;;;;;;
2020-03-12;0;0;0;0,285714286;1,142857143;1,142857143;1,285714286;1,285714286;0,571428571;0,142857143;;;;;;;;;;
2020-03-13;0;0;0;0,285714286;1,142857143;1,285714286;1,571428571;1,571428571;0,571428571;0,142857143;;;;;;;;;;
2020-03-14;0;0;0;0,285714286;1,142857143;1,571428571;2,142857143;2,142857143;0,857142857;0,142857143;0,00;0,00;0,71;1,71;6,43;7,57;9,71;9,71;3,14;0,57
2020-03-15;0;0;0;0,285714286;1,142857143;2,285714286;3,142857143;3,142857143;1,142857143;0,285714286;;;;;;;;;;
2020-03-16;0;0;0;0,285714286;1;2,285714286;3,142857143;3,142857143;1,285714286;0,285714286;;;;;;;;;;
2020-03-17;0;0;0;0,142857143;1,142857143;2,285714286;3,571428571;3,571428571;1;0,285714286;;;;;;;;;;
2020-03-18;0;0;0;0,142857143;1;2,285714286;3,857142857;3,857142857;1,285714286;0,142857143;;;;;;;;;;
2020-03-19;0;0;0;0,142857143;0,857142857;2,714285714;3,714285714;3,714285714;1,714285714;0,142857143;;;;;;;;;;
