Settimana del;05_11;12_19;20_29;30_39;40_49;50_59;60_69;70_79;80+
02/01/21;;0;69;70;93;143;115;0;0
09/01/21;;2;440;1590;2055;2960;2919;170;10
16/01/21;;12;910;2253;2669;3941;4279;674;600
23/01/21;;3;562;1079;1205;1348;1266;401;528
30/01/21;;2;164;265;289;282;253;90;96
06/02/21;;1;208;459;415;489;504;264;311
13/02/21;;5;564;958;1042;887;731;374;1183
20/02/21;;19;554;1038;1202;1139;813;470;3528
27/02/21;;20;481;939;1204;1362;860;492;8595
06/03/21;;29;950;1903;2936;3599;2005;1747;17103
13/03/21;;48;1169;1986;3269;4717;3656;2547;17354
20/03/21;;32;569;797;1265;2056;2266;1958;8291
27/03/21;;85;1311;2054;3554;5478;5299;3141;7148
03/04/21;;66;1305;1966;3567;5461;5602;3511;6082
10/04/21;;84;1107;1584;2428;4019;6101;7269;8573
17/04/21;;95;928;1537;2622;4475;7809;18175;7903
24/04/21;;117;1344;1668;2867;4959;19166;22564;5321
01/05/21;;237;1454;2307;3993;6946;28406;24615;3754
08/05/21;;334;2722;3834;5895;9222;25641;19598;2914
15/05/21;;597;4177;5070;7163;27651;18341;13316;2807
22/05/21;;729;5197;6294;17492;28204;13488;8878;2142
29/05/21;;681;5262;5997;19335;19159;9987;5725;1832
05/06/21;;5583;8999;8768;19735;14984;7997;3708;1150
12/06/21;;14472;19988;18168;17857;13608;7117;3690;1052
19/06/21;;7803;15797;15563;10915;9060;5048;2182;659
26/06/21;;5890;11322;10764;8367;7172;4286;1632;408
03/07/21;;4866;8524;8046;6753;6002;3636;1390;397
10/07/21;;3120;5134;4632;3758;3306;2139;1055;299
17/07/21;;2835;4145;3631;2876;2534;1581;692;204
24/07/21;;4007;6023;5110;4039;3378;1939;871;243
31/07/21;;5913;7585;6149;4658;3776;2065;868;269
07/08/21;;4941;5772;4866;3970;2859;1648;630;206
14/08/21;;3651;4124;3734;3065;2508;1387;504;170
21/08/21;;3279;2801;2777;2601;2204;1099;411;126
28/08/21;;3974;2982;3120;2873;2470;1379;578;201
04/09/21;;5020;3173;3182;2980;2491;1378;612;234
11/09/21;;4913;2864;2970;2784;2295;1302;680;265
18/09/21;;4939;2873;3520;3194;2502;1386;696;231
25/09/21;;2215;3331;4170;3765;3118;1678;654;271
02/10/21;;1608;2523;2999;2633;2361;1195;491;209
09/10/21;;1281;2067;2595;2331;1826;1010;386;158
16/10/21;;1263;2876;3670;3428;2932;1420;423;165
23/10/21;;1116;1852;2232;1925;1759;843;377;164
30/10/21;;802;1046;1178;1114;897;535;245;94
06/11/21;;744;671;874;756;642;409;210;85
13/11/21;;1158;858;1149;954;829;593;342;141
20/11/21;;1108;751;1061;949;823;542;317;136
27/11/21;;1307;919;1271;1113;1034;687;356;166
04/12/21;;2192;1095;1510;1513;1297;790;428;168
11/12/21;;3216;1337;1765;1688;1493;882;477;162
18/12/21;761;2311;1294;1660;1604;1530;979;585;245
25/12/21;1623;1219;627;927;745;697;527;287;152
01/01/22;2854;1450;626;995;814;831;550;325;158
08/01/22;17016;3562;1035;1572;1457;1612;1165;678;375
15/01/22;10724;3146;1343;2065;1958;2909;2222;1415;789
22/01/22;5739;2048;1051;1419;1405;1921;1582;1062;729
29/01/22;3517;1208;633;859;811;1182;1007;675;569
05/02/22;2421;879;519;716;643;1026;848;585;416
12/02/22;1798;583;430;514;422;531;452;340;339
19/02/22;800;360;258;264;269;339;236;234;190
26/02/22;397;232;184;209;148;162;151;120;131
05/03/22;205;149;127;153;121;133;89;79;62
12/03/22;176;97;104;116;85;85;87;45;68
19/03/22;124;116;88;89;89;64;46;38;50
26/03/22;115;121;113;98;47;48;29;22;37
