Data;Ricoveri per settimana
10 - 16 mar;9
17 - 23 mar;21
24 - 30 mar;33
31 mar - 6 apr;33
7 - 13 apr;32
14 - 20 apr;33
21 - 27 apr;24
28 apr - 4 mag;18
5 - 11 mag;11
12 - 18 mag;7
19 - 25 mag;5
26 mag - 1 giu;0
2 - 8 giu;3
9 - 15 giu;2
16 - 22 giu;2
23 - 29 giu;2
30 giu - 6 lug;3
7 - 13 lug;3
14 - 20 lug;1
21 - 27 lug;1
28 lug - 3 ago;1
4 - 10 ago;2
11 - 17 ago;2
18 - 24 ago;3
25 - 31 ago;3
1 - 7 set;2
8 - 14 set;4
15 - 21 set;7
22 - 28 set;8
29 set - 5 ott;8
6 - 12 ott;14
13 - 19 ott;27
20 - 26 ott;44
27 ott - 2 nov;60
3 - 9 nov;70
10 - 16 nov;123
17 - 23 nov;148
24 - 30 nov;136
1 - 7 dic;125
8 - 14 dic;112
15 - 21 dic;108
22 - 28 dic;108
29 dic - 4 gen;87
5 -11 gen;88
12 - 18 gen;86
19 - 25 gen;84
26 gen - 1 feb;90
2 - 8 feb;96
9 - 15 feb;89
16 - 22 feb;78
23 feb - 1 mar;88
2 - 8 mar;89
9 - 15 mar;85
16 - 22 mar;90
23 - 29 mar;93
30 mar - 5 apr;105
6 - 12 apr;129
13 - 19 apr;136
20 - 26 apr;141
27 apr - 3 mag;133
4 - 10 mag;136
11 - 17 mag;120
18 - 24 mag;101
25 - 31 mag;77
1 - 7 giu;62
