Data;Ricoveri per settimana
10 - 16 mar;7
17 - 23 mar;11
24 - 30 mar;22
31 mar - 6 apr;56
7 - 13 apr;56
14 - 20 apr;55
21 - 27 apr;48
28 apr - 4 mag;46
5 - 11 mag;39
12 - 18 mag;36
19 - 25 mag;32
26 mag - 1 giu;18
2 - 8 giu;14
9 - 15 giu;14
16 - 22 giu;12
23 - 29 giu;1
30 giu - 6 lug;1
7 - 13 lug;1
14 - 20 lug;2
21 - 27 lug;2
28 lug - 3 ago;2
4 - 10 ago;4
11 - 17 ago;3
18 - 24 ago;3
25 - 31 ago;9
1 - 7 set;11
8 - 14 set;13
15 - 21 set;12
22 - 28 set;12
29 set - 5 ott;14
6 - 12 ott;16
13 - 19 ott;20
20 - 26 ott;23
27 ott - 2 nov;38
3 - 9 nov;60
10 - 16 nov;74
17 - 23 nov;72
24 - 30 nov;72
1 - 7 dic;72
8 - 14 dic;55
15 - 21 dic;44
22 - 28 dic;34
29 dic - 4 gen;38
5 -11 gen;57
12 - 18 gen;63
19 - 25 gen;50
26 gen - 1 feb;46
2 - 8 feb;30
9 - 15 feb;17
16 - 22 feb;20
23 feb - 1 mar;24
2 - 8 mar;27
9 - 15 mar;35
16 - 22 mar;66
23 - 29 mar;99
30 mar - 5 apr;95
6 - 12 apr;102
13 - 19 apr;85
20 - 26 apr;93
